feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_185,0.513021,0.0,True,0.826701,True,-0.0008,-0.0404,0.0396
mfcc_186,0.5,0.0,True,0.797663,True,-0.0009,0.0281,0.029
mfcc_187,0.502604,0.0,True,0.798577,True,-0.0009,0.0223,0.0232
mfcc_188,0.5,0.0,True,0.825261,True,-0.0007,-0.0055,0.0048
mfcc_189,0.540799,0.0,True,0.790604,True,-0.0009,0.0534,0.0543
mfcc_190,0.545139,0.0,True,0.782891,True,-0.0008,-0.0397,0.0389
mfcc_191,0.515625,0.0,True,0.802787,True,-0.0007,-0.065,0.0642
mfcc_192,0.508681,0.0,True,0.873756,True,-0.0007,0.0018,0.0025
mfcc_193,0.513889,0.0,True,0.835394,True,-0.0007,-0.0063,0.0056
mfcc_194,0.524306,0.0,True,0.846406,True,-0.0004,-0.0658,0.0654
mfcc_195,0.493056,0.0,True,0.789328,True,-0.0006,-0.0432,0.0426
mfcc_196,0.537326,0.0,True,0.757529,True,-0.0002,0.0744,0.0745
mfcc_197,0.557292,0.0,True,0.771625,True,-1e-04,0.1068,0.107
mfcc_198,0.555556,0.0,True,0.85606,True,1e-04,-0.1237,0.1237
mfcc_199,0.525174,0.0,True,0.880098,True,-1e-04,-0.0656,0.0654
mfcc_200,0.146701,9e-05,True,0.431368,True,5.6551,5.7202,0.0651
mfcc_201,0.282986,0.0,True,0.657039,True,2.851,2.8522,0.0012
mfcc_202,0.295139,0.0,True,0.581915,True,1.9949,1.9576,0.0373
mfcc_203,0.377604,0.0,True,0.642348,True,1.3639,1.4824,0.1185
mfcc_204,0.377604,0.0,True,0.674802,True,1.3009,1.3159,0.015
mfcc_205,0.418403,0.0,True,0.710169,True,1.1309,1.0577,0.0732
mfcc_206,0.405382,0.0,True,0.732057,True,1.1831,1.2029,0.0198
mfcc_207,0.364583,0.0,True,0.708994,True,1.0628,1.0379,0.0249
mfcc_208,0.41059,0.0,True,0.696708,True,0.8977,0.8533,0.0444
mfcc_209,0.421007,0.0,True,0.707766,True,0.8785,0.8096,0.0688
mfcc_210,0.440972,0.0,True,0.642969,True,0.8738,0.7764,0.0973
mfcc_211,0.384549,0.0,True,0.660417,True,0.8704,0.9301,0.0597
mfcc_212,0.411458,0.0,True,0.676317,True,0.8384,0.8554,0.0171
mfcc_213,0.481771,0.0,True,0.717685,True,0.8166,0.6542,0.1625
mfcc_214,0.341146,0.0,True,0.694803,True,0.806,0.955,0.1491
mfcc_215,0.407986,0.0,True,0.716525,True,0.8073,0.8288,0.0215
mfcc_216,0.407986,0.0,True,0.660226,True,0.8028,0.768,0.0348
mfcc_217,0.394097,0.0,True,0.654542,True,0.7962,0.7803,0.0159
mfcc_218,0.375,0.0,True,0.612445,True,0.804,0.8924,0.0884
mfcc_219,0.347222,0.0,True,0.662526,True,0.8034,0.8348,0.0315
mfcc_220,0.326389,0.0,True,0.568176,True,0.8168,0.8966,0.0798
mfcc_221,0.362847,0.0,True,0.656739,True,0.8129,0.9378,0.1249
mfcc_222,0.33941,0.0,True,0.592145,True,0.8171,0.8413,0.0242
mfcc_223,0.382812,0.0,True,0.613105,True,0.8033,0.8069,0.0036
mfcc_224,0.357639,0.0,True,0.599924,True,0.8033,0.7775,0.0258
mfcc_225,0.391493,0.0,True,0.667796,True,0.7926,0.6836,0.109
mfcc_226,0.386285,0.0,True,0.615268,True,0.797,0.7398,0.0572
mfcc_227,0.371528,0.0,True,0.605231,True,0.7946,0.7154,0.0792
mfcc_228,0.394097,0.0,True,0.692084,True,0.7917,0.7482,0.0434
mfcc_229,0.398438,0.0,True,0.698593,True,0.7754,0.7184,0.0571
mfcc_230,0.404514,0.0,True,0.673919,True,0.7472,0.6178,0.1294
mfcc_231,0.439236,0.0,True,0.753006,True,0.7137,0.8163,0.1026
mfcc_232,0.388889,0.0,True,0.627173,True,0.6855,0.7266,0.0411
mfcc_233,0.416667,0.0,True,0.723908,True,0.6755,0.7706,0.0951
mfcc_234,0.40191,0.0,True,0.70186,True,0.6832,0.7363,0.0531
mfcc_235,0.414931,0.0,True,0.677716,True,0.6717,0.634,0.0378
mfcc_236,0.391493,0.0,True,0.663042,True,0.6684,0.6092,0.0591
mfcc_237,0.421007,0.0,True,0.734219,True,0.6482,0.6172,0.031
mfcc_238,0.447917,0.0,True,0.671102,True,0.6347,0.5192,0.1155
mfcc_239,0.439236,0.0,True,0.747901,True,0.609,0.5506,0.0584
