feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_92,0.065972,0.261698,False,0.001285,False,0.0004,0.0015,0.0011
mfcc_93,0.0625,0.321281,False,0.001456,False,0.0009,0.0017,0.0008
mfcc_94,0.053819,0.506843,False,0.001344,False,0.0002,0.0006,0.0004
mfcc_95,0.047743,0.659295,False,0.000687,False,0.0005,0.001,0.0005
mfcc_96,0.048611,0.637059,False,0.000752,False,0.0003,-0.0002,0.0005
mfcc_97,0.034722,0.938715,False,0.00054,False,0.0007,0.001,0.0002
mfcc_98,0.046007,0.703607,False,0.000842,False,0.0009,0.0013,0.0003
mfcc_99,0.032118,0.967897,False,0.000853,False,0.0006,0.0006,1e-04
mfcc_100,0.021701,0.999872,False,0.000621,False,-1e-04,0.0002,0.0003
mfcc_101,0.039062,0.865482,False,0.000914,False,-0.0002,0.0004,0.0006
mfcc_102,0.042535,0.789166,False,0.000845,False,0.0003,0.0009,0.0006
mfcc_103,0.046007,0.703607,False,0.000722,False,0.0007,0.0014,0.0007
mfcc_104,0.064236,0.290407,False,0.001047,False,0.0007,0.0,0.0006
mfcc_105,0.085069,0.068789,False,0.001574,False,0.0004,-0.0012,0.0016
mfcc_106,0.059028,0.389502,False,0.000757,False,0.0006,0.0002,0.0005
mfcc_107,0.059028,0.389502,False,0.000886,False,0.0003,0.0012,0.0009
mfcc_108,0.059028,0.389502,False,0.00054,False,0.0002,0.0004,1e-04
mfcc_109,0.063368,0.305572,False,0.000581,False,0.0006,0.0002,0.0004
mfcc_110,0.054688,0.486178,False,0.000579,False,0.0009,0.0003,0.0006
mfcc_111,0.043403,0.768393,False,0.000387,False,0.0007,0.0006,1e-04
mfcc_112,0.044271,0.747144,False,0.000434,False,0.0006,0.0006,0.0
mfcc_113,0.041667,0.809362,False,0.000432,False,0.0007,0.0005,0.0002
mfcc_114,0.042535,0.789166,False,0.000765,False,0.0004,0.0006,1e-04
mfcc_115,0.053819,0.506843,False,0.000528,False,0.0006,0.001,0.0004
mfcc_116,0.061632,0.337532,False,0.000385,False,0.0005,0.0006,1e-04
mfcc_117,0.076389,0.131766,False,0.000597,False,1e-04,0.0006,0.0005
mfcc_118,0.085938,0.064211,False,0.000715,False,-0.0002,0.0005,0.0007
mfcc_119,0.063368,0.305572,False,0.000502,False,0.0,0.0003,0.0003
mfcc_120,0.033854,0.949718,False,0.086117,False,12.5552,12.5454,0.0098
mfcc_121,0.041667,0.809362,False,0.049714,False,6.0781,6.0989,0.0208
mfcc_122,0.051215,0.570906,False,0.056191,False,4.4582,4.4126,0.0456
mfcc_123,0.076389,0.131766,False,0.048506,False,2.9858,3.033,0.0472
mfcc_124,0.029514,0.986107,False,0.020137,False,2.9034,2.9098,0.0064
mfcc_125,0.099826,0.019397,True,0.040703,False,2.2115,2.242,0.0305
mfcc_126,0.065104,0.275783,False,0.036684,False,2.2269,2.247,0.0201
mfcc_127,0.033854,0.949718,False,0.01987,False,1.9579,1.9488,0.009
mfcc_128,0.048611,0.637059,False,0.01696,False,1.6533,1.6629,0.0097
mfcc_129,0.041667,0.809362,False,0.019994,False,1.5938,1.5742,0.0196
mfcc_130,0.036458,0.912924,False,0.019452,False,1.5299,1.5264,0.0034
mfcc_131,0.078125,0.116357,False,0.038706,False,1.501,1.5349,0.0339
mfcc_132,0.044271,0.747144,False,0.027815,False,1.4336,1.4379,0.0043
mfcc_133,0.087674,0.055833,False,0.030571,False,1.3942,1.4173,0.0231
mfcc_134,0.047743,0.659295,False,0.028725,False,1.3664,1.3935,0.0271
mfcc_135,0.043403,0.768393,False,0.03766,False,1.3478,1.3771,0.0293
mfcc_136,0.06684,0.248146,False,0.042043,False,1.3463,1.3865,0.0403
mfcc_137,0.052951,0.52788,False,0.044391,False,1.3291,1.3731,0.044
mfcc_138,0.063368,0.305572,False,0.036109,False,1.3408,1.3716,0.0308
mfcc_139,0.065104,0.275783,False,0.04495,False,1.3408,1.3807,0.0399
mfcc_140,0.048611,0.637059,False,0.021824,False,1.3726,1.3889,0.0164
mfcc_141,0.046875,0.681504,False,0.026704,False,1.3565,1.3521,0.0044
mfcc_142,0.056424,0.4461,False,0.036682,False,1.3517,1.3165,0.0352
